"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"ULTRACEMCO","UltraTech Cement Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","20-Jul-2026"
"VENUSREM","Venus Remedies Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","20-Jul-2026"
"VIMTALABS","Vimta Labs Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","20-Jul-2026"
"AAVAS","Aavas Financiers Limited","Financial Results/Other business matters","To consider and approve the unaudited financial results for the period ended Jun 30, 2026, and other business matters","21-Jul-2026"
"ABSLAMC","Aditya Birla Sun Life AMC Limited","Financial Results","Aditya Birla Sun Life AMC Limited has informed the Exchange about Board Meeting to be held on Tuesday, 21 July, 2026 to inter-alia consider and approve the Unaudited Standalone and Consolidated Financial Results of the Company for the quarter ended June 30, 2026.","21-Jul-2026"
"ADANIENSOL","Adani Energy Solutions Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"ADOR","Ador Welding Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","21-Jul-2026"
"ANTHEM","Anthem Biosciences Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"ARVINDFASN","Arvind Fashions Limited","Financial Results","To consider and approve the unaudited financial results for the period ended Jun 30, 2026.","21-Jul-2026"
"ATGL","Adani Total Gas Limited","Financial Results","To consider and approve the unaudited financial results (Standalone and Consolidated)  for the quarter ended Jun 30, 2026","21-Jul-2026"
"ATLANTAELE","Atlanta Electricals Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"BAJAJ-AUTO","Bajaj Auto Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"BANDHANBNK","Bandhan Bank Limited","Financial Results","To consider and approve the Unaudited Financial Results of the Bank, for the quarter ended June 30, 2026.","21-Jul-2026"
"BHARATCOAL","Bharat Coking Coal Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"CRAMC","Canara Robeco Asset Management Company Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026.","21-Jul-2026"
"CRISIL","Crisil Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2026 and dividend","21-Jul-2026"
"CYIENTDLM","Cyient DLM Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"E2E","E2E Networks Limited","Financial Results","To consider and approve the Un-audited standalone and consolidated financial results (with limited review report) for the period ended Jun 30, 2026","21-Jul-2026"
"GABRIEL","Gabriel India Limited","Financial Results","Gabriel India Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled on 21/07/2026 ,inter alia, to consider and approve:1. The un-audited Financial Results of the Company (Standalone and Consolidated) for the quarter ending June 30, 2026 along with the Limited Review Report.2. Consider issue of equity shares or any other eligible securities, whether convertible or not, ('Securities') through permissible modes, including but not limited to a private placement, a qualified institutions placement, preferential issue, or any other method or combination of methods as may be permitted under applicable laws, subject to such regulatory/statutory approvals as may be required, increase in authorised share capital, and the approval of shareholders of the Company at its annual general meeting.","21-Jul-2026"
"GRANULES","Granules India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"HATSUN","Hatsun Agro Product Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","21-Jul-2026"
"HUHTAMAKI","Huhtamaki India Limited","Financial Results","To consider and approve the unaudited financial results for the period ended Jun 30, 2026","21-Jul-2026"
"INDHOTEL","The Indian Hotels Company Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"INDIAMART","Indiamart Intermesh Limited","Financial Results","To consider and approve the Audited Consolidated and Standalone Financial Results of the Company for the quarter ended June 30, 2026.","21-Jul-2026"
"INFOBEAN","InfoBeans Technologies Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"JSWINFRA","JSW Infrastructure Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"KIRLPNU","Kirloskar Pneumatic Company Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","Financial Results","Mahindra & Mahindra Financial Services Ltd has informed that the meeting of the Board of Directors of the Company is scheduled on July 21, 2026,inter alia, to consider and approve the Unaudited Financial Results of the Company for the quarter ended June 30, 2026.","21-Jul-2026"
"MASTEK","Mastek Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"MEDPLUS","Medplus Health Services Limited","Financial Results","Intimation of Board Meeting under Regulation 29 of SEBI (Listing Obligations and DisclosureRequirements) Regulations, 2015 (""SEBI LODR"")","21-Jul-2026"
"MPSLTD","MPS Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","21-Jul-2026"
"NDTV","New Delhi Television Limited","Financial Results","To consider and approve the un-audited financial results (Standalone and Consolidated) for the quarter ended June 30, 2026","21-Jul-2026"
"NIITLTD","NIIT Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","21-Jul-2026"
"NURECA","Nureca Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","21-Jul-2026"
"SAGILITY","SAGILITY LIMITED","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"SERVOTECH","Servotech Renewable Power System Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"SUNTECK","Sunteck Realty Limited","Financial Results/Fund Raising/Other business matters","To consider and approve the unaudited financial results for the quarter ended June 30, 2026 and as a yearly practice, to consider and approve enabling resolution, for raising of funds and other business matters","21-Jul-2026"
"TCC","TCC Concept Limited","Stock Split","To consider and discuss the stock split of equity shares","21-Jul-2026"
"TRIDENT","Trident Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"TVSHLTD","TVS Holdings Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","21-Jul-2026"
"TVSMOTOR","TVS Motor Company Limited","Financial Results/Fund Raising","TVS Motor Company Limited has informed the Exchange about Board Meeting to be held on 21st July 2026 to consider and approve the financial results for the period ended Jun 30, 2026 and Fund Raising","21-Jul-2026"
"ADANIGREEN","Adani Green Energy Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"ADANIPOWER","Adani Power Limited","Financial Results","To consider and approve the financial results for the period ended June 30, 2026","22-Jul-2026"
"AYE","Aye Finance Limited","Financial Results/Fund Raising","To consider and approve the financial results for the period ended Jun 30, 2026 and Fund Raising","22-Jul-2026"
"BANSALWIRE","Bansal Wire Industries Limited","Financial Results","Bansal Wire Industries Limited has informed the Exchange about Board Meeting to be held on July 22, 2026 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarter ended June 30 2026","22-Jul-2026"
"BPCL","Bharat Petroleum Corporation Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"CIEINDIA","CIE Automotive India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"CORDELIA","Waterways Leisure Tourism Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"CSBBANK","CSB Bank Limited","Financial Results","To consider and approve the unaudited financial results of the Bank for the quarter ended June 30, 2026","22-Jul-2026"
"DRREDDY","Dr. Reddy's Laboratories Limited","Financial Results","To consider the Un-audited Standalone and Consolidated Financial Results of the Company for the quarter ending on June 30, 2026","22-Jul-2026"
"EMAMIPAP","Emami Paper Mills Limited","Financial Results","To consider and approve the unaudited financial results for the first quarter ended Jun 30, 2026","22-Jul-2026"
"ETERNAL","ETERNAL LIMITED","Financial Results","Eternal Limited has informed the exchange about Board Meeting to be held on 22-July-2026, inter alia, to consider and approve the unaudited financial results of the Company for the quarter ended June 30, 2026.","22-Jul-2026"
"GANDHAR","Gandhar Oil Refinery (India) Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026, dividend and other business matters","22-Jul-2026"
"GEOJITFSL","Geojit Financial Services Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","22-Jul-2026"
"GREENPOWER","Orient Green Power Company Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"HEG","HEG Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"HFCL","HFCL Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"HINDPETRO","Hindustan Petroleum Corporation Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"IIFL","IIFL Finance Limited","Financial Results","To consider and approve the Consolidated and Standalone Unaudited Financial Results for the quarter ended June 30, 2026","22-Jul-2026"
"INDUSINDBK","IndusInd Bank Limited","Financial Results/Fund Raising/Other business matters","To consider and approve the Unaudited Consolidated and Standalone Financial Results for the quarter ended June 30, 2026, fixing the date and time for the 32nd Annual General Meeting of the Bank and Fund Raising.","22-Jul-2026"
