"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"DOLPHIN","Dolphin Offshore Enterprises (India) Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"GANESHHOU","GANESH HOUSING LIMITED","Financial Results","Meeting of the Board of Directors to be held on Friday, July 24, 2026, inter-alia, to approve and take on record the Standalone and Consolidated unaudited  financial results  of the Company under India Accounting Standards (IND AS) for the quarter  ended June 30, 2026","24-Jul-2026"
"GANGOTRI","Gangotri Textiles Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"GREENPLY","Greenply Industries Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"GRINDWELL","Grindwell Norton Limited","Financial Results","A meeting of the Board of Directors of the Company is scheduled to be held on Friday, July 24, 2026, inter alia, to consider and approve the unaudited standalone and consolidated financial results of the Company for the quarter ended June 30, 2026","24-Jul-2026"
"GULFPETRO","GP Petroleums Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026, dividend and other business matters.","24-Jul-2026"
"JINDALSTEL","JINDAL STEEL LIMITED","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"KFINTECH","Kfin Technologies Limited","Financial Results","To consider and approve the standalone and consolidated unaudited financial results of the Company for the quarter ending June 30, 2026.","24-Jul-2026"
"KROSS","Kross Limited","Financial Results/Other business matters","To consider and approve the unaudited financial results for the period ended Jun 30, 2026 and other business matters","24-Jul-2026"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","Financial Results/Other business matters","To consider and approve the financial results for the period ending Jun 30, 2026 and other business mattersPlease note that this Board Meeting pertains to the Financial Year 2026 2027. However, while submitting this announcement, the Financial Year is being auto-populated as 2025 2026. Since this field is system-generated and cannot be modified by us, we are submitting the announcement with the Financial Year reflecting as 2025 2026.We request you to kindly take note of the above and consider this announcement as pertaining to the Financial Year 2026 2027.","24-Jul-2026"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","Dividend","To consider Interim dividend for FY 2026-27, if any,","24-Jul-2026"
"LAURUSLABS","Laurus Labs Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"LMW","LMW Limited","Financial Results","LMW Ltd has informed the Exchange that the meeting of the Board of Directors of the Company is scheduled on 24/07/2026, inter alia, to consider and approve the Unaudited Financial Results of the Company for the quarter ended 30th June 2026.","24-Jul-2026"
"MOSCHIP","Moschip Technologies Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","24-Jul-2026"
"NIACL","The New India Assurance Company Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","24-Jul-2026"
"NTPC","NTPC Limited","Financial Results/Fund Raising","To consider and approve the financial results for the period ended Jun 30, 2026 and Fund Raising","24-Jul-2026"
"OMAXAUTO","Omax Autos Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2026 and dividend","24-Jul-2026"
"PONNIERODE","Ponni Sugars (Erode) Limited","Financial Results","To consider and approve the Unaudited Financial results for the quarter ended Jun 30, 2026","24-Jul-2026"
"RAJRATAN","Rajratan Global Wire Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","24-Jul-2026"
"RAMAPHO","Rama Phosphates Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","24-Jul-2026"
"RKFORGE","Ramkrishna Forgings Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"SAPPHIRE","Sapphire Foods India Limited","Financial Results","To consider and approve the financial results for the period ended June 30, 2026","24-Jul-2026"
"SBICARD","SBI Cards and Payment Services Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"SBILIFE","SBI Life Insurance Company Limited","Financial Results","To consider and approve the financial results for the period ended June 30, 2026","24-Jul-2026"
"SHAKTIPUMP","Shakti Pumps (India) Limited","Financial Results","To consider and approve the Un-audited Standalone and Consolidated Financial Results for the period ended June 30, 2026","24-Jul-2026"
"SHAREINDIA","Share India Securities Limited","Financial Results/Dividend/Fund Raising","Share India Securities Limited has informed the Exchange that the Meeting of Board of Directors of the Company is scheduled to be held on Friday, July 24, 2026, inter-alia to consider and approve: 1. Un-audited Standalone and Consolidated Financial Results of the Company for the Quarter ended June 30, 2026, 2. Declaration of first Interim Dividend for the financial year 2026-2027; and 3. Issuance of Non-Convertible Debentures/Commercial Papers on Private Placement basis.","24-Jul-2026"
"SHREDIGCEM","Shree Digvijay Cement Co.Ltd","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"SHRIRAMFIN","Shriram Finance Limited","Financial Results/Fund Raising/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026, Fund Raising and other business matters","24-Jul-2026"
"STLTECH","Sterlite Technologies Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"TATACONSUM","TATA CONSUMER PRODUCTS LIMITED","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","24-Jul-2026"
"VMART","V-Mart Retail Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"WELCORP","Welspun Corp Limited","Financial Results","To consider and approve the standalone as well as the consolidated unaudited financial results of the Company for the quarter ended 30th June, 2026.","24-Jul-2026"
"WENDT","Wendt (India) Limited","Financial Results","To consider and approve the unaudited financial results for the quarter ended Jun 30, 2026","24-Jul-2026"
"ZFCVINDIA","ZF Commercial Vehicle Control Systems India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"3PLAND","3P Land Holdings Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","25-Jul-2026"
"AUBANK","AU Small Finance Bank Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","25-Jul-2026"
"BIRLACORPN","Birla Corporation Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","25-Jul-2026"
"DODLA","Dodla Dairy Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","25-Jul-2026"
"FIVESTAR","Five-Star Business Finance Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","25-Jul-2026"
"IDFCFIRSTB","IDFC First Bank Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","25-Jul-2026"
"MANYAVAR","Vedant Fashions Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","25-Jul-2026"
"SBFC","SBFC Finance Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","25-Jul-2026"
"SESHAPAPER","Seshasayee Paper and Boards Limited","Financial Results","To consider and approve the Standalone and Consolidated Un-audited Financial Results of the Company for the quarter ended Jun 30, 2026","25-Jul-2026"
"SURANASOL","Surana Solar Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","25-Jul-2026"
"ZENTEC","Zen Technologies Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","25-Jul-2026"
"ACL","Andhra Cements Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","27-Jul-2026"
"AURIONPRO","Aurionpro Solutions Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","27-Jul-2026"
"BALAMINES","Balaji Amines Limited","Financial Results","Balaji Amines Limited has informed NSE that the meeting of the Board of Directors of the Company is scheduled on 27/07/ 2026 inter alia, to consider and approve The Un-Audited Standalone and Consolidated Financial Results of the Company for Quarter ended 30th June, 2026","27-Jul-2026"
"BEL","Bharat Electronics Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","27-Jul-2026"
"CANBK","Canara Bank","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","27-Jul-2026"
"CCL","CCL Products (India) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","27-Jul-2026"
"COALINDIA","Coal India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2026 and dividend","27-Jul-2026"
"COFORGE","Coforge Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","27-Jul-2026"
"EVERESTIND","Everest Industries Limited","Financial Results","Pursuant to the provisions of Regulation 29 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that a meeting of the Board of Directors of the Company is scheduled to be held on Monday, July 27, 2026, inter alia, to consider and approve the Unaudited (Standalone and Consolidated) Financial Results of the Company for the quarter ended June 30, 2026. Further, in continuation to our earlier intimation dated June 25, 2026 regarding closure of Trading Window, we wish to inform you that the Trading Window for dealing in the shares of the Company shall remain closed from July 1, 2026 to July 29, 2026 (both days inclusive).","27-Jul-2026"
"FAIRCHEMOR","Fairchem Organics Limited","Financial Results","To consider and approve the Unaudited Financial Results for the Quarter ended June 30, 2026","27-Jul-2026"
"HAPPSTMNDS","Happiest Minds Technologies Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","27-Jul-2026"
"IFBAGRO","IFB Agro Industries Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","27-Jul-2026"
"INDUSTOWER","Indus Towers Limited","Financial Results","To consider and approve the Audited Financial Results (Standalone & Consolidated) for the first quarter (Q1) ended on June 30, 2026","27-Jul-2026"
"KANPRPLA","Kanpur Plastipack Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","27-Jul-2026"
"MANBA","Manba Finance Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2026 and  interim dividend","27-Jul-2026"
"NELCAST","Nelcast Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","27-Jul-2026"
"NESCO","Nesco Limited","Financial Results","To consider and approve the Unaudited Standalone and Consolidated Financial Results for the period ended Jun 30, 2026","27-Jul-2026"
"RRKABEL","R R Kabel Limited","Financial Results","R R Kabel Limited has informed the Exchange about Board Meeting to be held on 27 July 2026, inter alia, to consider and approve the Unaudited Financial Results (Standalone and Consolidated) of the Company for the quarter ended 30 June 2026.","27-Jul-2026"
"SAGCEM","Sagar Cements Limited","Financial Results","To consider and take on record the un-audited standalone and consolidated financial results for the period ended Jun 30, 2026","27-Jul-2026"
"SUMICHEM","Sumitomo Chemical India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","27-Jul-2026"
"TATAPOWER","Tata Power Company Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","27-Jul-2026"
"TGBHOTELS","TGB Banquets And Hotels Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","27-Jul-2026"
"TMB","Tamilnad Mercantile Bank Limited","Financial Results","To consider and approve the un-audited financial results for the period ended June 30, 2026","27-Jul-2026"
"TOKYOPLAST","Tokyo Plast International Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","27-Jul-2026"
"AARNAV","Aarnav Fashions Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","28-Jul-2026"
"AMBUJACEM","Ambuja Cements Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","28-Jul-2026"
"CEMPRO","Cemindia Projects Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","28-Jul-2026"
"CHOLAFIN","Cholamandalam Investment and Finance Company Limited","Fund Raising","To consider Fund Raising","28-Jul-2026"
"CHOLAFIN","Cholamandalam Investment and Finance Company Limited","Financial Results","To consider and approve the un-audited financial results for the period ended Jun 30, 2026","28-Jul-2026"
"CUB","City Union Bank Limited","Financial Results","To consider and approve the Un-audited Standalone financial results for the quarter ended Jun 30, 2026","28-Jul-2026"
"EQUITASBNK","Equitas Small Finance Bank Limited","Financial Results","To consider and approve the financial results for the period ended June 30, 2026","28-Jul-2026"
"GINNIFILA","Ginni Filaments Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","28-Jul-2026"
"HINDUNILVR","Hindustan Unilever Limited","Financial Results","To consider and approve Unaudited Standalone and Consolidated Financial Results for the quarter ended 30th June, 2026.","28-Jul-2026"
"IFBIND","IFB Industries Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","28-Jul-2026"
"INDOCO","Indoco Remedies Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","28-Jul-2026"
"LT","Larsen & Toubro Limited","Financial Results","Board Meeting for considering the unaudited financial results for the quarter ended June 30, 2026","28-Jul-2026"
"NAVNETEDUL","Navneet Education Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","28-Jul-2026"
"RADICO","Radico Khaitan Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","28-Jul-2026"
"SHK","S H Kelkar and Company Limited","Financial Results","Notice of Board Meeting to consider Unaudited Standalone and Consolidated Financial Results for the quarter ended June 30, 2026","28-Jul-2026"
"SUNCLAY","Sundaram Clayton Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","28-Jul-2026"
"TATACAP","Tata Capital Limited","Financial Results","To consider and approve the Unaudited Standalone and Consolidated Financial Results of the Company for the quarter ended June 30, 2026.","28-Jul-2026"
"TTKPRESTIG","TTK Prestige Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","28-Jul-2026"
"ACCELYA","Accelya Solutions India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2026 and dividend","29-Jul-2026"
"ACMESOLAR","Acme Solar Holdings Limited","Financial Results","To consider and approve the un-audited financial results (Standalone andConsolidated) of the Company for the first quarter ended on June 30, 2026.","29-Jul-2026"
"ADANIENT","Adani Enterprises Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","29-Jul-2026"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","29-Jul-2026"
"ASIANPAINT","Asian Paints Limited","Financial Results","This is to inform that a meeting of the Board of Directors of the Company will be held on Wednesday, 29th July 2026, inter alia, to consider and approve 1. audited standalone financial results of the Company for the quarter ended 30th June 2026; and 2. unaudited consolidated financial results of the Company for the quarter ended 30th June 2026.","29-Jul-2026"
"BAJAJHFL","Bajaj Housing Finance Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","29-Jul-2026"
"COLPAL","Colgate Palmolive (India) Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","29-Jul-2026"
"CRAFTSMAN","Craftsman Automation Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","29-Jul-2026"
"DABUR","Dabur India Limited","Financial Results","To consider and approve the unaudited financial results for the period ended Jun 30, 2026","29-Jul-2026"
"DHANBANK","Dhanlaxmi Bank Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","29-Jul-2026"
"EMUDHRA","eMudhra Limited","Financial Results","To consider and approve the unaudited standalone and consolidated financial results of the company for the quarter ended June 30, 2026.","29-Jul-2026"
"GOKULAGRO","Gokul Agro Resources Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","29-Jul-2026"
"GRSE","Garden Reach Shipbuilders & Engineers Limited","Financial Results","In terms of Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, as amended (the  SEBI Listing Regulations ), we wish to inform you that the meeting of the Board of Directors of the Company is scheduled to be held on Wednesday, 29 July 2026, inter alia, to consider and approve the Unaudited Financial Results of the Company for the quarter ended 30 June 2026. The detailed disclosure in this regard is enclosed.","29-Jul-2026"
"HONAUT","Honeywell Automation India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","29-Jul-2026"
"KPITTECH","KPIT Technologies Limited","Financial Results","To consider and approve the un-audited financial results along with the Limited Review Report for the quarter ended June 30, 2026.","29-Jul-2026"
"LXCHEM","Laxmi Organic Industries Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","29-Jul-2026"
"MAHSCOOTER","Maharashtra Scooters Limited","Financial Results","Maharashtra Scooters Ltd has informed that the meeting of the Board of Directors of the Company is scheduled on 29/07/2026, inter alia, to consider and approve unaudited financial results for the quarter ended 30 June 2026","29-Jul-2026"
"NATHBIOGEN","Nath Bio-Genes (India) Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","29-Jul-2026"
"PGHH","Procter & Gamble Hygiene and Health Care Limited","Financial Results","To consider and approve the financial results for the quarter ended Jun 30, 2026","29-Jul-2026"
"QUESS","Quess Corp Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","29-Jul-2026"
"SHANTIGEAR","Shanthi Gears Limited","Financial Results","To consider and approve the Unaudited Financial Results for the Quarter ended 30th June, 2026","29-Jul-2026"
"SKMEGGPROD","SKM Egg Products Export (India) Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2026 and dividend","29-Jul-2026"
"STARHEALTH","Star Health and Allied Insurance Company Limited","Financial Results","To consider and approve the unaudited financial results for the quarter ended Jun 30, 2026","29-Jul-2026"
"SYNGENE","Syngene International Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","29-Jul-2026"
"TEAMLEASE","Teamlease Services Limited","Financial Results","TeamLease: Intimation of Q1 Board Meeting for Financial Year 2026-27","29-Jul-2026"
"VGUARD","V-Guard Industries Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","29-Jul-2026"
"VINCOFE","Vintage Coffee And Beverages Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","29-Jul-2026"
"ACI","Archean Chemical Industries Limited","Financial Results","To consider and approve the Un-audited financial results for the period ended Jun 30, 2026","30-Jul-2026"
"AWL","AWL Agri Business Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","30-Jul-2026"
"BAJFINANCE","Bajaj Finance Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","30-Jul-2026"
"DEEPAKFERT","Deepak Fertilizers and Petrochemicals Corporation Limited","Financial Results","To consider and approve the unaudited financial results for the period ended Jun 30, 2026","30-Jul-2026"
"EXIDEIND","Exide Industries Limited","Financial Results","To consider and approve unaudited financial results of the Company for the period ending 30th June 2026.","30-Jul-2026"
"GILLETTE","Gillette India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","30-Jul-2026"
"ICRA","ICRA Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","30-Jul-2026"
"INDGN","Indegene Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","30-Jul-2026"
"M&M","Mahindra & Mahindra Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","30-Jul-2026"
"MANKIND","Mankind Pharma Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","30-Jul-2026"
"NUCLEUS","Nucleus Software Exports Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","30-Jul-2026"
"PRICOLLTD","Pricol Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","30-Jul-2026"
"PSPPROJECT","PSP Projects Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","30-Jul-2026"
"TATASTEEL","Tata Steel Limited","Financial Results/Other business matters","To consider and take on record the audited Standalone and unaudited Consolidated financial results of the Company for the quarter ended June 30, 2026","30-Jul-2026"
"TCI","Transport Corporation of India Limited","Financial Results","Intimation of Board Meeting to be held on July 30, 2026, to inter alia, consider and approve the Unaudited Financial Results (Standalone and Consolidated) of the Company for the 1st quarter ended June 30, 2026.","30-Jul-2026"
"THERMAX","Thermax Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","30-Jul-2026"
"TORNTPHARM","Torrent Pharmaceuticals Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","30-Jul-2026"
"VINYLINDIA","Vinyl Chemicals (India) Limited","Financial Results","Intimation of Date of Board Meeting for consideration of Unaudited Financial Results for the Quarter ended 30/06/2026.","30-Jul-2026"
"WESTLIFE","WESTLIFE FOODWORLD LIMITED","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","30-Jul-2026"
"ABB","ABB India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2026","31-Jul-2026"
"ABCAPITAL","Aditya Birla Capital Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","31-Jul-2026"
"APTUS","Aptus Value Housing Finance India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","31-Jul-2026"
"BAJAJFINSV","Bajaj Finserv Limited","Financial Results","To consider and approve the unaudited standalone and consolidated financial results of the Company for the quarter ended 30 June 2026.","31-Jul-2026"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","Financial Results","Bajaj Holdings & Investment Ltd has informed that the meeting of the Board of Directors of the Company is scheduled on 31/07/2026, inter alia, to consider and approve unaudited standalone and consolidated financial results for the quarter ended 30 June 2026.","31-Jul-2026"
"BLUEDART","Blue Dart Express Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","31-Jul-2026"
"CORONA","CORONA Remedies Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","31-Jul-2026"
"GLENMARK","Glenmark Pharmaceuticals Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","31-Jul-2026"
"HYBRIDFIN","Hybrid Financial Services Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","31-Jul-2026"
"IL&FSENGG","IL&FS Engineering and Construction Company Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","31-Jul-2026"
"INTELLECT","Intellect Design Arena Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","31-Jul-2026"
"IOC","Indian Oil Corporation Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","31-Jul-2026"
"ITC","ITC Limited","Financial Results","In terms of Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we write to advise that a Meeting of the Board of Directors of the Company has been convened for Friday, 31st July, 2026, inter alia, to consider and approve the Unaudited Standalone and Consolidated Financial Results of the Company along with the Segment-wise Revenue, Results, Assets and Liabilities for the Quarter ended 30th June, 2026.","31-Jul-2026"
"MARUTI","Maruti Suzuki India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","31-Jul-2026"
"PUNJABCHEM","Punjab Chemicals & Crop Protection Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","31-Jul-2026"
"SHREECEM","SHREE CEMENT LIMITED","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","31-Jul-2026"
"SMARTLINK","Smartlink Holdings Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","31-Jul-2026"
"SRPL","Shree Ram Proteins Limited","Financial Results","SRPL : 31-Jul-2026 :  The Company has informed the Exchange that a Board meeting to be held on Jun 29, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on July 31, 2026,  To consider and approve the financial results for the period ended March 31, 2026","31-Jul-2026"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","Financial Results","To consider and approve Unaudited Standalone and Consolidated Financial Results for the quarter ended 30 June 2026","31-Jul-2026"
"BALMLAWRIE","Balmer Lawrie & Company Limited","Financial Results/Other business matters","Intimation of Board Meeting inter-alia, for:(a) Consideration of Unaudited Financial Results (both Standalone and Consolidated) for the first quarter of Financial Year 2026-27 ended on 30th June, 2026;(b) Closure of Trading Window","01-Aug-2026"
"CDSL","Central Depository Services (India) Limited","Financial Results","CDSL has informed the Exchange about Board Meeting to be held on August 01, 2026, to, inter-alia, consider and approve the Audited Financial Results of the Company for the Quarter ended June 30, 2026.","01-Aug-2026"
"CLEAN","Clean Science and Technology Limited","Financial Results","Pursuant to Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, intimation is hereby given that, a meeting of the Board of Directors of the Company will be held on Saturday, 1st August, 2026, to inter alia, consider and approve the Un-audited Standalone and Consolidated Financial Results for the First Quarter ended 30th June, 2026.","01-Aug-2026"
"DIVISLAB","Divi's Laboratories Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","01-Aug-2026"
"DLINKINDIA","D-Link (India) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","01-Aug-2026"
"GHCL","GHCL Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","01-Aug-2026"
"SARDAEN","Sarda Energy & Minerals Limited","Financial Results/Fund Raising","To consider and approve the financial results for the period ended Jun 30, 2026 and Fund Raising","01-Aug-2026"
"SPORTKING","Sportking India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","01-Aug-2026"
"PERSISTENT","Persistent Systems Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","02-Aug-2026"
"BHARATGEAR","Bharat Gears Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026Pursuant to Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby inform that 2/26-27 Meeting of the Board of Directors of                          the Company is scheduled to be held on August 03, 2026 inter-alia; to consider, approve                  and take on record the Un-Audited Financial Results of the Company for the quarter                      ended June 30, 2026.Further to our letter dated June 25, 2026, this is to inform that in terms of the Code for Prevention of Insider Trading read with the SEBI (Prohibition of Insider Trading) Regulations, 2015, the  Trading Window  for dealing in the shares of the Company for Promoters/Promoter Group/Directors/Key Managerial Personnel/Designated Persons/Connected Persons of the Company shall be closed till Wednesday, August 05, 2026.You are requested to take it on your records.","03-Aug-2026"
"CAMS","Computer Age Management Services Limited","Financial Results/Dividend","To consider and approve the financial results for the quarter ended June 30, 2026 and dividend","03-Aug-2026"
"ESCORTS","Escorts Kubota Limited","Financial Results","To consider and approve the unaudited financial results for the period ended June 30, 2026","03-Aug-2026"
"JMFINANCIL","JM Financial Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","03-Aug-2026"
"KANSAINER","Kansai Nerolac Paints Limited","Financial Results","To consider and approve the financial results for the period ended June 30, 2026","03-Aug-2026"
"KCP","KCP Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2026 and dividend","03-Aug-2026"
"NOCIL","NOCIL Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","03-Aug-2026"
"PATINTLOG","Patel Integrated Logistics Limited","Financial Results/Other business matters","To consider and approve the unaudited Standalone & Consolidated Financial Results Of The Company For The Quarter Ended On June 30, 2026 and to take on record the Limited Review Report on Unaudited Standalone & Consolidated Financial Results of the Company for the quarter ended on June 30, 2026","03-Aug-2026"
"STOVEKRAFT","Stove Kraft Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","03-Aug-2026"
"THOMASCOOK","Thomas Cook  (India)  Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","03-Aug-2026"
"ALKYLAMINE","Alkyl Amines Chemicals Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","04-Aug-2026"
"BASF","BASF India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","04-Aug-2026"
"BBL","Bharat Bijlee Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","04-Aug-2026"
"BSE","BSE Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","04-Aug-2026"
